sample,fastq_1,fastq_2
primary,lane1PrimaryPDX_1_sequence.fq.gz,lane1PrimaryPDX_2_sequence.fq.gz
relapse,lane1RelapsePDX_1_sequence.fq.gz,lane1RelapsePDX_2_sequence.fq.gz
